date,ABI.BR,AD.AS,ADSGn.DE,AIR.PA,AIRP.PA,ALVG.DE,ASML.AS,AXAF.PA,BASFn.DE,BAYGn.DE,BBVA.MC,BMWG.DE,BNPP.PA,CARR.PA,CRDI.MI,CRH.I,DAIGn.DE,DANO.PA,DBKGn.DE,DPWGn.DE,DTEGn.DE,ENEI.MI,ENGIE.PA,ENI.MI,EONGn.DE,ESSI.PA,FREG.DE,GASI.MI,IBE.MC,INGA.AS,ISP.MI,ISPA.AS,ITX.MC,LVMH.PA,MUVGn.DE,NOKIA.HE,ORAN.PA,OREP.PA,PHG.AS,REP.MC,RWEG.DE,SAF.PA,SAN.MC,SAPG.DE,SASY.PA,SCHN.PA,SGEF.PA,SGOB.PA,SIEGn.DE,SOGN.PA,TEF.MC,TOTF.PA,UNBP.AS,UNBP.PA,UNc.AS,VIV.PA,VOWG_p.DE
2013-01-18,0.197388301337,0.145242084191,0.2147297596,0.258024220909,0.154491848962,0.202595369478,0.275804344816,0.244759741167,0.193344156235,0.201700082865,0.241199284318,0.242361583891,0.281777013097,0.299739224671,0.313107018476,0.328222244736,0.242003745606,0.177159115866,0.28498810041,0.174090004037,0.174876608543,0.274773978786,0.212913910786,0.189260260048,0.214700623038,0.178795413187,0.17820896552,0.245271764634,0.22597457324,0.284480855226,0.324725238489,0.30801128225,0.220167728694,0.188024887233,0.178150352589,0.486511870091,0.2350204293,0.190259346151,0.229504032454,0.219289588377,0.221572598538,0.293300093591,0.213955517641,0.178002144799,0.187420900522,0.279787176845,0.217058736809,0.285593348293,0.137604575761,0.337984604766,0.180278343844,0.172705988814,0.19653337543,0.19653337543,0.143538536695,0.262845238641,0.244782906991
2013-01-21,0.196851389438,0.137313719757,0.19856734251,0.250846588367,0.140108914798,0.196425211756,0.27757855272,0.240307729096,0.182698959135,0.192671580744,0.235603788106,0.23207409214,0.273167862332,0.296647729124,0.307969652389,0.327415769544,0.229829363192,0.176216350745,0.269258531703,0.170047473495,0.174900504753,0.275781316071,0.207393880487,0.186740466132,0.208362299573,0.167645537108,0.172850162134,0.243201379348,0.224806668928,0.274055741496,0.31921940939,0.294318863702,0.219648913281,0.186977732582,0.172826694991,0.506765521441,0.225878879986,0.186045160544,0.220809183433,0.216314860462,0.214048545105,0.295009321882,0.217260063981,0.18194274183,0.178274839086,0.266110190926,0.205248154142,0.273898128502,0.129021195719,0.327983487197,0.178455139796,0.160953999388,0.192797205215,0.192797205215,0.139583803579,0.259175746888,0.237638400346
2013-01-22,0.195159901701,0.186115533268,0.200724691757,0.247925207941,0.140320031874,0.200697142141,0.275126229776,0.237377469492,0.181598637152,0.188796790987,0.23723132087,0.230181247092,0.272803745258,0.302544102071,0.305566627874,0.323032134849,0.224583175202,0.176378316623,0.275507493653,0.172964252245,0.175217767858,0.265490711125,0.206141578641,0.181051800344,0.216542843595,0.169787338419,0.172811452239,0.240556485637,0.221650784857,0.274225250727,0.321381891395,0.292511570154,0.219565547701,0.198784045415,0.174718162543,0.501883501994,0.236051351297,0.188125168165,0.22700675621,0.216865853299,0.214451269305,0.29507684101,0.210661625396,0.192043176451,0.179239776786,0.255330048001,0.209018926102,0.271290364732,0.126993093051,0.329888806006,0.180248193111,0.156935622169,0.19592459015,0.19592459015,0.141104426146,0.261839810152,0.229629731413
2013-01-23,0.203066678653,0.142331375169,0.216346067924,0.246970862938,0.167596766609,0.215183702378,0.280497632647,0.25061364743,0.205938152627,0.210065620313,0.227922341419,0.262804727292,0.29387496788,0.300065642049,0.301381628665,0.326304083718,0.245551479784,0.178872975482,0.292167557452,0.179820944329,0.169714996021,0.274303776056,0.22512496128,0.185975292465,0.212986109924,0.176603805766,0.210945910842,0.253040410406,0.252832088588,0.28766312204,0.315741716436,0.291750492844,0.295688974593,0.205665531377,0.181557188756,0.528641894252,0.234104534891,0.187699100462,0.218181671944,0.248576107455,0.225677116707,0.295419524587,0.233027521235,0.195720948093,0.189480100642,0.287010232332,0.217483275786,0.297542054229,0.152762421931,0.31671225034,0.199070603999,0.182285167287,0.187729137883,0.187729137883,0.139377709489,0.285241004718,0.245300070227
2013-01-24,0.201010612491,0.182941854965,0.199126259406,0.250807983217,0.138628177122,0.191199256882,0.271554493295,0.238497498847,0.175853006047,0.186866101548,0.227211542781,0.22878273402,0.272417017989,0.300659759767,0.303251650835,0.315650689112,0.218279080085,0.176668869795,0.265931646294,0.169148919992,0.166866940173,0.254942465148,0.208826299891,0.182383088032,0.234316625403,0.167891627245,0.171729123204,0.237411694149,0.216573340804,0.279262849226,0.31939592391,0.286265152737,0.208481194614,0.19594879393,0.172413983708,0.489513373802,0.242605959874,0.18321772265,0.243837176348,0.217144858484,0.21317213295,0.295759493587,0.211862575725,0.18312121157,0.173779549859,0.252246466079,0.206061311873,0.268517390455,0.131718124946,0.331382965972,0.177598684881,0.151282396665,0.195579642237,0.195579642237,0.122836093862,0.258498485984,0.226995402768
2013-01-25,0.203387257237,0.1825178137,0.196561443444,0.249440825069,0.138676590469,0.188268842769,0.263369235424,0.236813538959,0.170186358726,0.184013705645,0.226326246604,0.227089483253,0.264619873993,0.293058376267,0.303929362307,0.317215733373,0.217439880592,0.174507035619,0.265401858458,0.165359219746,0.166125058316,0.250796024498,0.206186642769,0.183457345536,0.242990970367,0.169176655697,0.172899086868,0.23426492786,0.21494354178,0.284505656873,0.324224593365,0.28720851828,0.204907448345,0.193475981904,0.169652376853,0.493867618869,0.237516600652,0.180458425847,0.242129100146,0.215787707733,0.21411237762,0.295297361826,0.211020672705,0.171331623274,0.172458186781,0.245126411072,0.199650613865,0.265574411014,0.129762780394,0.326646868855,0.177002325206,0.149266547009,0.193309699515,0.193309699515,0.119574940735,0.260403775829,0.226268317517
2013-01-28,0.209986478642,0.176867169795,0.197087918574,0.252523245952,0.140620990778,0.191499933637,0.279610639485,0.231358430262,0.170741860204,0.184514663353,0.22790460604,0.228550986768,0.259454983468,0.300114540644,0.301732085857,0.317947827085,0.21512543961,0.178889646147,0.263424942963,0.165966101644,0.167848653427,0.239826512455,0.204413778658,0.182373199453,0.244990964132,0.172326261571,0.173860318391,0.228947601628,0.215471838777,0.282311502953,0.316678840783,0.282468775099,0.205029886846,0.19834521473,0.168931036237,0.486341867929,0.238707130608,0.179713718563,0.241312333598,0.215271735979,0.21533302085,0.296184623955,0.212596366019,0.172782186826,0.174414714695,0.243080093795,0.202437719671,0.265559283412,0.131196312838,0.324173237394,0.168734966997,0.152919580488,0.196578216824,0.196578216824,0.1194711709,0.259897317302,0.227106582494
2013-01-29,0.211523950463,0.177462450873,0.196930320054,0.252675988615,0.138609697904,0.188561770844,0.276374605323,0.230013044168,0.174920620876,0.196567827683,0.230586098617,0.227729991586,0.263746056553,0.292355812019,0.301733568621,0.316307674805,0.216101260726,0.176741474805,0.262885250968,0.169180266259,0.168878177884,0.236305362649,0.200307375444,0.179093209221,0.240705476913,0.169481738438,0.174193098418,0.22915561253,0.214431770489,0.281540481031,0.3168659669,0.285031688532,0.205069500682,0.194763104712,0.167170195711,0.482478333105,0.235378390489,0.178439425883,0.23364917761,0.21577094387,0.211615838512,0.296548773829,0.214214349645,0.17284805853,0.178840312167,0.242784126416,0.197945585757,0.262663037852,0.127616427068,0.32806981285,0.165645943109,0.149346984108,0.193492955199,0.194937482535,0.118591857498,0.257492492782,0.230272651943
2013-01-30,0.211598420947,0.177694054176,0.200640079733,0.265377369863,0.139952639346,0.189153622623,0.27987741653,0.229870670767,0.181318195444,0.198337104977,0.236350060571,0.228618394719,0.268746039686,0.292227047178,0.309242239923,0.31992226859,0.21886458225,0.178928326544,0.26666674065,0.16939391575,0.169228626521,0.249370232937,0.20877069531,0.20158407902,0.219270021244,0.172248324475,0.177086599886,0.23036149098,0.216563526661,0.281974629652,0.327947092417,0.29186617033,0.205108515602,0.202958150151,0.167477698532,0.480078324995,0.236078821776,0.181034833086,0.238126909186,0.216294782409,0.21175455241,0.297631088117,0.199018663329,0.173928020036,0.175120419598,0.247235937305,0.201500465073,0.272184064587,0.126748901009,0.340250425471,0.169116566323,0.152891755831,0.186785260005,0.186785260005,0.120328925738,0.264376063821,0.232231317561
2013-01-31,0.242579114501,0.135440017063,0.202944461598,0.263831330917,0.142224946704,0.189852362918,0.281279358319,0.232450346906,0.184128679287,0.202093588549,0.240978396388,0.237270009745,0.272308284271,0.291877317422,0.31268283628,0.316461297193,0.2283948931,0.185387308857,0.257594726602,0.174265060711,0.17030383258,0.249187042364,0.212929082611,0.197774911678,0.224124280936,0.183384907741,0.179159122178,0.231159149992,0.222290184114,0.285638590788,0.334110570701,0.296628822848,0.212798082092,0.201886829732,0.167084701186,0.504192629175,0.239566744077,0.191024324696,0.238858391255,0.219545806119,0.216150038684,0.299035905499,0.217452938769,0.171768112129,0.179051856841,0.251999891969,0.206281749511,0.276164899488,0.130113563677,0.337254753229,0.162442579114,0.158871268977,0.175580470545,0.175580470545,0.12386072598,0.263484630117,0.23658559286
2013-02-01,0.217880221872,0.133625351932,0.202342018938,0.26328410287,0.144435853617,0.188421857136,0.281310016972,0.226781648187,0.183136362681,0.201052817812,0.246038964502,0.236222716106,0.267708597503,0.294153395529,0.330131350408,0.318555754262,0.231842545873,0.1851078836,0.258719155255,0.176357576804,0.167874802992,0.265056442953,0.212687104137,0.198745860251,0.22789737348,0.182297663491,0.179563754839,0.236377232547,0.227869620226,0.292272297602,0.352857229685,0.299265035299,0.212752675127,0.202027843178,0.165704966014,0.487137306876,0.239576812324,0.187998179874,0.245354321926,0.228723614705,0.218857227166,0.298932414535,0.235660893483,0.171219916115,0.181169455258,0.250294882253,0.206136019612,0.274572481294,0.138191518025,0.335898486292,0.166124998032,0.162090339023,0.180303809519,0.180303809519,0.124216687141,0.268871609983,0.235974083401
2013-02-04,0.224138939501,0.140914462025,0.21454754642,0.264791570628,0.152547386295,0.20165322291,0.29138097141,0.247290040675,0.203527735415,0.208233263243,0.258167842586,0.244745559756,0.292452474271,0.296048273311,0.364825319662,0.270581177729,0.241278054096,0.192972669359,0.275517835373,0.18278878105,0.175597481008,0.288685860741,0.221432637524,0.206500900656,0.235038374272,0.191521824467,0.187559892512,0.264182831582,0.23707096804,0.307588723411,0.365368215772,0.315004512977,0.221929046096,0.209936989806,0.173329082834,0.499067345773,0.251305246057,0.197082118164,0.248310664855,0.232074245422,0.223963431723,0.301479577778,0.252876603517,0.181894222477,0.189343149766,0.262905149494,0.222536622852,0.282749351835,0.152111125237,0.355025696974,0.191625870002,0.174813189909,0.189320821024,0.189320821024,0.129418872933,0.276867178479,0.244709916107
2013-02-05,0.219073615756,0.142281856965,0.219636493719,0.265427217897,0.156543644447,0.197538467022,0.29253646287,0.242494511443,0.200101344555,0.210650816811,0.255327446264,0.2446048099,0.28957211186,0.300924645057,0.360689548267,0.272170573068,0.237663958993,0.200794751747,0.272724402627,0.184255098723,0.180727475074,0.276356751758,0.223704752426,0.20549727585,0.233620340197,0.19069881466,0.191124456832,0.26051920616,0.232460434052,0.312836066,0.361018076553,0.307088133178,0.221793965632,0.207546754165,0.161576809599,0.509267191567,0.259621259263,0.196652683485,0.254596906918,0.254237265468,0.227145916113,0.300635223419,0.247970221877,0.18294529196,0.187420415872,0.26061136826,0.226093514398,0.28302250151,0.152049824658,0.352373500392,0.193175375533,0.175994150603,0.188303108326,0.188303108326,0.128112446403,0.292495667906,0.24516872359
