date,AA.N,AAPL.OQ,ABBV.N,ABT.N,ACN.N,ADBE.OQ,ADP.OQ,AET.N,AGN.N,AIG.N,ALXN.OQ,AMGN.OQ,AMT.N,AMZN.OQ,ANTM.N,APA.N,APC.N,AVGO.OQ,AXP.N,BA.N,BAC.N,BIIB.OQ,BK.N,BLK.N,BMY.N,BRKb.N,C.N,CAT.N,CB.N,CBS.N,CELG.OQ,CHTR.OQ,CL.N,CMCSA.OQ,COF.N,COP.N,COST.OQ,COV.N,CRM.N,CSCO.OQ,CVS.N,CVX.N,D.N,DD.N,DE.N,DHR.N,DIS.N,DOW.N,DTV.OQ,DUK.N,EBAY.OQ,EMC.N,EMR.N,EOG.N,ESRX.OQ,EXC.N,F.N,FB.OQ,FCX.N,FDX.N,FOXA.OQ,GD.N,GE.N,GILD.OQ,GIS.N,GM.N,GOOG.OQ,GOOGL.OQ,GS.N,HAL.N,HD.N,HON.N,IBM.N,INTC.OQ,ITW.N,JNJ.N,JPM.N,KHC.OQ,KMB.N,KMI.N,KO.N,KRFT.OQ,LIFE.OQ,LLY.N,LMT.N,LOW.N,LYB.N,MA.N,MCD.N,MCK.N,MDLZ.OQ,MDT.N,MET.N,MMM.N,MO.N,MON.N,MRK.N,MS.N,MSFT.OQ,NEE.N,NFLX.OQ,NKE.N,NOV.N,ORCL.N,OXY.N,PCLN.OQ,PCP.N,PEP.N,PFE.N,PG.N,PM.N,PNC.N,PRU.N,PSA.N,PSX.N,PX.N,PYPL.OQ,QCOM.OQ,RAI.N,REGN.OQ,SBUX.OQ,SLB.N,SO.N,SPG.N,STT.N,SYK.N,T.N,TGT.N,TJX.N,TMO.N,TRV.N,TWX.N,TXN.OQ,UNH.N,UNP.N,UPS.N,USB.N,UTX.N,V.N,VIAB.OQ,VZ.N,WBA.OQ,WFC.N,WMT.N,XOM.N,YHOO.OQ
2010-01-04,0.440212271746,0.372906921407,,0.159566188944,0.204779483859,0.270888617771,,0.406991254815,,0.62713580753,,0.30383072415,0.240263015236,0.472204588017,0.366336831357,0.283635970415,0.338296911814,,0.321232174783,0.273956315863,0.364102979419,0.290785003748,0.286301190528,0.283772425248,0.258081726119,0.159983195645,0.459539307761,0.327691630735,,0.448778258495,,,0.205229940674,0.321267727144,0.378756405791,0.242963606908,0.199464243646,,,0.25776927277,0.271406733436,0.188186599135,0.180567469045,0.270393659246,0.312031686624,0.246591471201,0.260133575758,0.354519570094,,0.190152815866,0.327530637592,0.29709999023,0.239436258409,,0.263105096607,0.212639392309,0.426496574636,,0.373449887633,0.301807023557,0.345249965114,0.215406420957,0.269546418633,0.28180550322,0.172161119998,,,0.247358563252,0.292004456553,0.329029320727,0.229233655393,0.227503616709,0.193492243217,0.277938171437,0.250335026197,0.14190075102,0.301029023904,,0.169148175462,,0.657018898268,,,0.216679372272,0.240712314816,0.270339391532,,,0.196448176421,0.213484190841,0.190769002018,0.279266941111,0.329972398832,0.223611616277,0.180736496893,0.270420431023,0.268461439117,0.33078846874,0.233874756886,0.212705782929,,0.197314586679,0.34933436075,0.237846657833,0.272367514954,,,0.189181219635,0.267148523263,0.187826144948,0.218275302215,,0.369253215029,0.4,,,,0.259283684949,0.277108868687,,0.321478484922,0.311522805802,0.165761987358,,0.361256890568,0.363148997997,0.185377014982,0.258263138918,,0.247761375862,0.248602344001,0.299545379999,0.298262325759,0.372712803206,0.249427852597,0.207029577663,0.304422286628,0.215714185823,,0.305270534182,0.174086209354,0.224007465803,0.369900859907,0.167296843141,0.189893123422,0.255306132582
2010-01-05,0.453123079699,0.361911163736,,0.158679569785,0.203571248945,0.264690105395,,0.4099863153,,0.622513567364,,0.311073938977,0.234382691827,0.468563968545,0.356563175015,0.282330864623,0.334893010282,,0.327338231233,0.278841066474,0.354741830344,0.292331550738,0.281315112997,0.283706966582,0.264117314998,0.160808111467,0.464602020897,0.332048829653,,0.449465736865,,,0.195768583713,0.330444267407,0.37855466849,0.252252112549,0.199671423324,,,0.260070693646,0.271260073991,0.181459090242,0.185660764096,0.27575603604,0.319791149045,0.286698676468,0.26035018388,0.357463679086,,0.257943067465,0.323786376849,0.288087319229,0.242332407203,,0.237659903318,0.217441384561,0.401950979691,,0.352135872186,0.293781873135,0.347606347369,0.216002259964,0.269709437012,0.390106883156,0.289865175109,,,0.248979761211,0.288225916792,0.334990720701,0.221311394784,0.227825461,0.200485744591,0.277419340619,0.251916827934,0.147792103377,0.297543992519,,0.173745810939,,0.630600982961,,,0.220281082432,0.237852335528,0.270541481025,,,0.194909691951,0.211488218766,0.182854534808,0.27094865381,0.323981818293,0.230721474037,0.182998328322,0.270398428937,0.267179891506,0.334414032139,0.234813271873,0.214360241715,,0.200649360282,0.340779248472,0.240030871669,0.265215293383,,,0.185173787396,0.278974473047,0.185592941387,0.219716503431,,0.372143124215,0.4,,,,0.246595093694,1.09019351586,,0.317350533222,0.312780269345,0.171691186446,,0.358161169431,0.359835575136,0.185965420181,0.253540116134,,0.256837253893,0.261327002409,0.300006383226,0.305594603094,0.372815052501,0.386378688721,0.213707650602,0.298448443434,0.222457373009,,0.299725116007,0.176194493383,0.228723925997,0.3660165903,0.17715619913,0.191194590618,0.265560646783
2010-01-06,0.43450372824,0.358901364737,,0.16404692896,0.197044860145,0.264515671115,,0.423420423033,,0.650907415434,,0.323737127109,0.229100573926,0.475038917832,0.361918831386,0.282648072944,0.345653292648,,0.312856997192,0.280569219742,0.355069873948,0.298226198628,0.292265200455,0.290756544644,0.247984909928,0.16156331413,0.458068919143,0.334761678132,,0.460096877644,,,0.194658188666,0.32664058745,0.389532221438,0.268550434021,0.189858337996,,,0.268750946897,0.275582580141,0.184450426039,0.186157020323,0.270796338559,0.319737078764,0.212756748005,0.258911171396,0.356737537504,,0.204694884065,0.327483719278,0.297783552025,0.238172800059,,0.233751404766,0.219053631431,0.415179336836,,0.346230001796,0.297430980188,0.343735179433,0.219264137048,0.271011974847,0.364750619082,0.224475354223,,,0.25941388853,0.293429361468,0.337538920887,0.218141355932,0.23223020791,0.198596864045,0.278973974034,0.250678218912,0.148949637633,0.288992883205,,0.174919924432,,0.385059669577,,,0.221790209033,0.246507147654,0.266773796137,,,0.198202099858,0.225634492532,0.181411198355,0.267421062749,0.320593984084,0.224809116518,0.174563918606,0.270125871551,0.258668880169,0.332500870479,0.232761434702,0.20971353827,,0.200169378975,0.343593900893,0.247162390164,0.271433026628,,,0.186535311057,0.276257181512,0.1825684218,0.215839819258,,0.363033596981,0.4,,,,0.257993207359,0.390614915776,,0.312476653802,0.307650015853,0.165397616453,,0.353761673503,0.354358284283,0.190976560008,0.244836300853,,0.252573520523,0.267973622735,0.300113931365,0.300568390892,0.373499355036,0.2491387493,0.223848315302,0.289085223108,0.230864037811,,0.302528687965,0.181991114386,0.231132907853,0.355933295022,0.174456785948,0.188767452182,0.270210268401
2010-01-07,0.438764093259,0.370811717592,,0.139334700865,0.203696747592,0.273882965545,,0.417165669573,,0.628491236843,,0.328831536802,0.232357357979,0.475563244463,0.352162352254,0.284640597988,0.360282129004,,0.30609930052,0.293992520526,0.340022413013,0.306813676002,0.285645628267,0.288730273793,0.25186398763,0.16224977709,0.455265337384,0.336226451673,,0.454568746695,,,0.188849822162,0.318412853688,0.390657261794,0.261947514858,0.187085525461,,,0.246523319061,0.267494150798,0.190272429453,0.186006114896,0.268835196738,0.320210803265,0.234641230105,0.258741080528,0.386693585278,,0.213417526091,0.325421494624,0.293220708192,0.238654823556,,0.239600961734,0.210947916983,0.456866481615,,0.348683524165,0.303024110029,0.34679453297,0.219284774524,0.294288334036,0.257868750279,0.146533442851,,,0.295619102341,0.289757672971,0.3444527984,0.214984525084,0.234272519474,0.197141089961,0.276263262974,0.247321980459,0.15163234154,0.279487558648,,0.174351629818,,0.300021332066,,,0.217984261034,0.26031172066,0.261606413773,,,0.192881537712,0.229951917728,0.182474935929,0.259412979311,0.320299551525,0.22267716208,0.173656039239,0.272173977082,0.262551099806,0.328294967068,0.246544897374,0.213119332135,,0.200964196337,0.338210936922,0.244773482071,0.271118503877,,,0.192021878618,0.273421449663,0.18348227555,0.212915394918,,0.359310427433,0.4,,,,0.259094754032,0.221170511631,,0.306511686174,0.309726456252,0.164222629379,,0.350651333427,0.342254147708,0.194293492686,0.243855420099,,0.254002545852,0.264469922387,0.300547062049,0.286770391148,0.370810458565,0.237508740807,0.220894558023,0.287226744041,0.229859986139,,0.300680957598,0.176189309514,0.231761470784,0.350527345409,0.173263923998,0.192299175208,0.262172846454
2010-01-08,0.459158734181,0.358347179032,,0.172290625475,0.208196997695,0.271664449469,,0.416828401446,,0.664997426778,,0.313997518122,0.226915094047,0.468504975401,0.355704399596,0.293882519333,0.369194450919,,0.315113539204,0.316607467031,0.3607143335,0.295073190448,0.279183419342,0.287852006466,0.25322684431,0.162868369528,0.434149760327,0.327628449937,,0.461936615551,,,0.197330404709,0.318953450712,0.400762982654,0.218572323316,0.181898287806,,,0.25197163609,0.269157091244,0.194666401016,0.193743209594,0.274625803835,0.315114686321,0.318716769288,0.253601804525,0.392644865312,,0.252943194024,0.320684336366,0.293676970887,0.234781050909,,0.22963255123,0.213138535218,0.452934610388,,0.353641658999,0.284109823937,0.347634776488,0.218059738735,0.284983569153,0.366273982708,0.144363462168,,,0.281146835019,0.294859635084,0.339235381201,0.212679721174,0.230253008638,0.193295169022,0.278888044384,0.243329190084,0.151536834104,0.277355936263,,0.184387433585,,0.265209216013,,,0.212957073918,0.254673005647,0.253402501951,,,0.19189993288,0.225364576263,0.204784332294,0.258184558039,0.315513785367,0.21827007702,0.17801971994,0.280417781467,0.256383217412,0.352991947723,0.246647641793,0.219642810796,,0.194708021316,0.342891983921,0.24435605566,0.27544461157,,,0.194837060628,0.26401419043,0.179906940864,0.211042313037,,0.37003765302,0.4,,,,0.259408027365,0.155501133722,,0.302535617951,0.310397286056,0.162236540902,,0.343554959981,0.341104592838,0.194034216105,0.239013733159,,0.248866193272,0.264864823993,0.300502882728,0.279490737875,0.378838391934,0.249558477328,0.197148927608,0.292827273971,0.230988879018,,0.294099153009,0.192962362359,0.22478189043,0.357185406971,0.174090855517,0.199062036134,0.303581023807
2010-01-11,0.440733372829,0.360468901006,,0.172185065062,0.213867922783,0.269643766467,,0.421325457405,,0.677028982315,,0.298303653302,0.231718132941,0.471490352116,0.353069403968,0.292825417532,0.369872697504,,0.320289465592,0.311593521231,0.358361300835,0.292451156209,0.29642734812,0.271587279945,0.237189758069,1.07144126692,0.434139166078,0.313295846531,,0.457039552121,,,0.201382286007,0.310978910164,0.431028242015,0.264396555336,0.178235668249,,,0.25418540811,0.274039357436,0.190917518387,0.16614289388,0.263391295434,0.311936668821,0.210152662902,0.258896837356,0.398263872212,,0.212403771922,0.31704224041,0.289662853095,0.227466235069,,0.226559601767,0.208037275069,0.452788137826,,0.357030896982,0.273570375009,0.346865242783,0.208802056365,0.278986572429,0.246512992959,0.15338397655,,,0.295924771381,0.299671643872,0.355813834535,0.226337609966,0.235406474815,0.196743127102,0.280224030909,0.234022099023,0.14554966803,0.292351639085,,0.181550560649,,0.167363637728,,,0.205192192645,0.255160918724,0.258869417518,,,0.187556836471,0.236500819748,0.214101239428,0.260998301096,0.311997101798,0.214890792653,0.173619267496,0.268503947633,0.245837925642,0.344970372339,0.254831889732,0.219366931846,,0.49551495931,0.343915799959,0.239183294448,0.278417178374,,,0.192169892106,0.255317915297,0.176131685043,0.210118789391,,0.37095762937,0.4,,,,0.253532001802,0.177318069874,,0.300843531468,0.309896012067,0.158318948567,,0.367991009386,0.342254147708,0.194159580848,0.232019949683,,0.238030428229,0.263641957674,0.299935997263,0.27924844259,0.369292222079,0.233559726979,0.197081728588,0.299827676611,0.215424609155,,0.287120832644,0.184251156339,0.219890409494,0.341537178631,0.168388053844,0.194748193404,0.300515832975
2010-01-12,0.407296194656,0.353225125448,,0.149198717333,0.215570325882,0.264634005255,,0.436683044552,,0.628708185451,,0.299985209015,0.233308295899,0.484889294389,0.356123878966,0.291068238501,0.375082900403,,0.307651342582,0.308398479039,0.357840543223,0.295103914669,0.295217743804,0.277960532793,0.230578990443,1.07144126692,0.437674614116,0.348765980932,,0.464381212888,,,0.199606399764,0.317015829419,0.423665895784,0.244806863448,0.177566196709,,,0.258683836213,0.276261576324,0.196841396964,0.187176011085,0.270328367106,0.348637001934,0.32430103468,0.266523693504,0.393377382039,,0.254502326029,0.319712538418,0.295703610685,0.227641394749,,0.224042635892,0.208222025399,0.43083129878,,0.353468673539,0.270504499151,0.353224165507,0.213407373066,0.285520307618,0.24487694402,0.151151306876,,,0.306770064242,0.30735121104,0.364537607464,0.229364663706,0.236140257427,0.194061612131,0.32079474514,0.243158675129,0.147098202744,0.314157779708,,0.178620979345,,0.164802888559,,,0.20849926402,0.251757735388,0.256959201437,,,0.180867045303,0.22023353348,0.214702579228,0.265083635223,0.323216453741,0.210479042394,0.175442004754,0.271152159653,0.250714634564,0.361330162979,0.258870569312,0.226844855382,,0.186965356162,0.350046136806,0.239883556334,0.291487344646,,,0.187985522819,0.25383267001,0.179294105058,0.210592329907,,0.369438592472,0.4,,,,0.266143264785,0.16593755104,,0.309411318681,0.322712091685,0.160668410111,,0.365332570442,0.342524631207,0.193553151615,0.23494796352,,0.246579076402,0.254526016332,0.301230651851,0.295199146307,0.376591756737,0.321467789896,0.203315344128,0.302470905998,0.21858890678,,0.306595710055,0.187469228144,0.222761876939,0.350452845406,0.15977033647,0.189210532847,0.296738099832
2010-01-13,0.385902048602,0.347040797085,,0.162639524116,0.214520807224,0.253870032437,,0.433096791455,,0.639017313532,,0.298495540529,0.229032399047,0.47096846561,0.345943927841,0.287718690895,0.360587120762,,0.309544724653,0.304194683385,0.361173036357,0.297346918279,0.296611894035,0.277487443737,0.228760586756,2.83410758155,0.426001282622,0.361910865921,,0.460207567178,,,0.195262117854,0.312035297213,0.419113700114,0.245376698958,0.173262530364,,,0.255538918024,0.274680251839,0.201198242159,0.18090617275,0.269444643076,0.351084562152,0.198237334381,0.256994045894,0.399782405493,,1.69529011113,0.321838438761,0.292578376814,0.227903283761,,0.24685463818,0.203317498265,0.454704780329,,0.399206152982,0.272923348786,0.370656690059,0.208966376752,0.284976231919,0.243817340211,0.150598224097,,,0.318248133791,0.310106882803,0.357513430341,0.220207293484,0.233931684853,0.198442524756,0.332385008149,0.244757780086,0.145263703812,0.305558061797,,0.178210649873,,0.166161172922,,,0.203930207265,0.249720072773,0.255989111052,,,0.183113575099,0.256701854508,0.216201692981,0.263386403981,0.330412316163,0.211967559003,0.169741159721,0.258615120104,0.234580968628,0.346106846809,0.255607662274,0.237862698838,,0.19074505779,0.352456595398,0.240365423051,0.289134707597,,,0.187194363902,0.249586428453,0.184898578394,0.208202225011,,0.359858877933,0.4,,,,0.26435468143,0.178329805559,,0.304807138508,0.318064998924,0.15994368452,,0.359834571178,0.340766488464,0.202007175728,0.234058792459,,0.237266103548,0.257695326695,0.300163436039,0.299919194879,0.362702564648,0.235020813389,0.199218340034,0.291698485591,0.214916238706,,0.295733767924,0.187022430572,0.217998417944,0.34755686359,0.160575795936,0.195128645979,0.300649976962
2010-01-14,0.412691397286,0.370357355976,,0.154003429484,0.21436421926,0.255147150436,,0.41300812311,,0.6444671914,,0.275358605331,0.224230268321,0.478685564442,0.338968807011,0.285919957648,0.349439178545,,0.31282767105,0.30264455646,0.354183300055,0.299309552627,0.29715867666,0.280344025896,0.228059283223,0.264478874611,0.424569596073,0.363879151097,,0.464287310621,,,0.194848690931,0.303268923719,0.43200573157,0.249691013918,0.175872929247,,,0.245348480269,0.274328926601,0.202694746181,0.180055371405,0.267749190653,0.356960135077,0.542151073517,0.254897711828,0.413835261789,,0.208777577141,0.317177121152,0.278672783383,0.22985468673,,0.251298828501,0.204323096737,0.452984112461,,0.402280427514,0.277798891906,0.373891699289,0.212994755392,0.287872829777,0.227286097432,0.140810183682,,,0.323785321521,0.308186483276,0.359823299607,0.213489822931,0.233042801594,0.198863650366,0.309425222624,0.249416552256,0.135635437585,0.308957215686,,0.182842401258,,0.167457957806,,,0.197642003131,0.251305043387,0.249734659727,,,0.183695156841,0.264260669912,0.216949698518,0.247464821866,0.330343300031,0.213412333975,0.173702578966,0.289859750467,0.218542222954,0.361656602463,0.252732636799,0.243350652524,,0.183495505692,0.34537102459,0.229653439584,0.292612201497,,,0.181983421761,0.243244070867,0.18031419013,0.208759030777,,0.34654882301,0.4,,,,0.263807193693,0.177924558531,,0.305645610044,0.321390464539,0.162373970976,,0.361508443404,0.337047340354,0.209621344266,0.223231658585,,0.253307383114,0.248209444697,0.300505158169,0.323115042419,0.373297172159,0.239857198716,0.205348786064,0.281126495181,0.211937942539,,0.284794212682,0.192498845176,0.21332140061,0.342615164164,0.164252390914,0.182461759479,0.286854715596
2010-01-18,0.381602346589,0.411817426928,,0.15749652198,0.210320227644,0.252741559471,,0.421311875894,,0.623204168534,,0.274884807061,0.219086218241,0.483601328712,0.35021127781,0.280620565848,0.351186799327,,0.320956972969,0.310623925995,0.356370104044,0.279141263295,0.306848749558,0.282958829441,0.217994554109,0.208068869368,0.42452502008,0.379014956399,,0.475682467417,,,0.195644023287,0.310764512201,0.431982116755,0.20592820831,0.166316496635,,,0.26335127574,0.275425283272,0.192293798882,0.174751604257,0.262059057275,0.373050002605,0.20591002069,0.259473463732,0.405502642504,,0.17445954292,0.364917982715,0.291140557841,0.224977911787,,0.238080368899,0.203122421716,0.449928433468,,0.407193038195,0.279315078401,0.385636024847,0.209989072766,0.264887088127,0.216684429307,0.14799153651,,,0.315875330335,0.317082184107,0.366616467717,0.205174862948,0.239209328719,0.201828973083,0.246463498536,0.250584887292,0.143770940878,0.268732955902,,0.18407661001,,0.488052642465,,,0.19322371947,0.262552829169,0.239771810384,,,0.181007661722,0.270322936518,0.221824821407,0.252532510706,0.338789623438,0.215611345982,0.169860086317,0.274940581672,0.241332999195,0.345104557788,0.254103241178,0.222285142577,,0.180713906857,0.350289152226,0.231757879824,0.287065296129,,,0.183559624266,0.24534642038,0.176467753046,0.199784581265,,0.345359611226,0.4,,,,0.26356438396,0.155902051014,,0.30705081689,0.321694582795,0.164135576008,,0.358741128634,0.33697971948,0.218162071611,0.211946016671,,0.242262307784,0.252591383135,0.304645849104,0.338554855303,0.385045372355,0.239502809492,0.208926369877,0.297032136912,0.221419656326,,0.289430287423,0.205731800383,0.208159906246,0.326266419159,0.167847719613,0.182130831361,0.281581595881
